Project title,Term,Year,Project report link,WPI only?,Sponsor(s),Authors,Co-advisor(s),Topic(s),Categories,Website ,
Return to the City of Water: Quantifying Change in the Venetian Canals,B,2010,http://www.wpi.edu/Pubs/E-project/Available/E-project-121710-165116/unrestricted/Return_to_the_City_of_Water_B10_Rii.pdf,,,Alison M. Corriveau; Jessica A. DiToro; Carlos Humberto Martinez Luna; Brian J. Scully,James Cocola,Canals; Hydrodynamics; Wakes,,https://sites.google.com/site/ve10ships/,4
Venipedia: A Modern Knowledge and Data Wiki Dedicated to the City of Venice,B,2010,http://www.wpi.edu/Pubs/E-project/Available/E-project-121710-165119/unrestricted/Final_Report_B10_Venipedia.pdf,,,Thomas M. Finelli; Catherine Hannah O'Brien; Kevin R. Scannell,James Cocola,Wiki,,https://sites.google.com/site/ve10tude/,3
Building Blocks of Venice: Preserving Knowledge of a City's Infrastructure and Maintenance,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-121611-063819/unrestricted/Final_Report_B11_Maint_2.6.pdf,,Insula SpA,Paul Peter Finn; Katie Lucille Hutchinson; Ryan A. Muller; Jesse Paul Ouellette,Frederick W. Bianchi,Buildings; Maintenance,,https://sites.google.com/site/venicemaintained/,4
Detailed Look At the Changing Venetian Retail Sector,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-122211-215914/unrestricted/ve11_Super_Final_Report_newest.pdf,,Consorzio per la Ricerca e la Formazione in Liquidazione (COSES); Città di Venezia,Laura D. Aurilio; Heather Jean Lewis; Katherine Lynn Mattern; Christopher Francis Pinola,Seth Tuler; Frederick W. Bianchi,Stores; Tourism,,https://sites.google.com/site/ve11supermarket/,4
Digitizing the Archives of the Private Committees for the Safeguarding of Venice,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-122011-171038/unrestricted/ARCH_B11_Report.pdf,,Private Committees for the Safeguarding of Venice; UNESCO (UVO-ROSTE),Lorey Michelle Aragon; Jeremy Scott Brown; Gabriela C. Nunez; Julie Anne Wade,Frederick W. Bianchi,Archives; Digitization,,https://www.sites.google.com/site/ve11archives/,4
Interactive Venice: Using Art and Games to Bring Awareness to Venetian Social Concerns,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-121911-103334/unrestricted/BIEN_Final_Report.pdf,,,Michael Stewart Frankfort; Rinaldo R. Izzo; Roni George Rostom; Jillian Ames Sauer,Frederick W. Bianchi,Art; Mobile apps,,https://sites.google.com/site/ve11bien/,4
Noises of Venice: An Exploration of Noise in an Historic City,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-122011-003346/unrestricted/IQP_REPORT_FINAL_B11_NOISE.pdf,,,Elliott Stewart Calamari; Neil Cruz Pomerleau; Robert Edward Puishys; Wesley James Ripley,Frederick W. Bianchi,Sounds; Pollution; Noise,,https://sites.google.com/site/ve11noise/,4
PreserVenice: Preserving the Material Culture of Venice,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-121611-124241/unrestricted/PreserVeniceIQP_B11.pdf,,UNESCO (UVO-ROSTE),Jonathan James Fitzgibbon; Christopher John Kazanovicz; Nicholas Alexander Lima; Courtney Anne Rosales,Frederick W. Bianchi,Public art,,https://www.sites.google.com/site/ve11culture/,4
Traversing the Labyrinth: A Comprehensive Analysis of Pedestrian Traffic in Venice,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-122011-162657/unrestricted/Mobility_B11_Report.pdf,,Assessorato alla Mobilità,Chelsea Anne Fogarty; Geordie Charles Folinas; Steven Charles Greco; Cassandra Lynn Stacy,Frederick W. Bianchi,Pedestrians; Transportation,,https://sites.google.com/site/ve11mobi/,4
Update on the Hydrodynamics of the Venice Canals,B,2011,http://www.wpi.edu/Pubs/E-project/Available/E-project-122011-114138/unrestricted/IQP_Final_Report_B11_Hydro.pdf,,Istituzione Centro Previsioni e Segnalazioni Maree; Istituto di Scienze Marine (ISMAR); IPROS,Junbo Chen; Anthony Robert DiNino; Zachary R. Mintz; Robert Patrick Wolf,Frederick W. Bianchi,Canals; Hydrodynamics; Wakes,,https://sites.google.com/site/ve11hydro/,4
Impact of Tourism on Boat Transportation Systems: Analyzing the Effect of Cruise Ship Passengers in Venice,B,2012,Student Work | The Impact of Tourism on the Venice Public Transportation System | ID: vt150j734 | Digital WPI,,,Marissa Rose Capua; Jessica Lorraine Guyette; Brian James Hetherman; Lindsay Ann Hock,John F. Zeugner,Tourism; Boats; Cruise ships; Transportation,,sites.google.com/site/ve12trans/,4
Merchants of Venice: A Look At the Changes in the Venetian Stores and Tourist Accommodations and Their Impact on the Local Population,B,2012,https://drive.google.com/file/d/0B9kJ1wT04N5yUDJHMkYwWFJmRVk/view?usp=share_link&resourcekey=0-jWmD9jX520QVmVubN-7siQ,,,Benjamin Nathanael Bruso; Hongling Chen; Amanda Olm; Iliana Jeanne-Marie Schulman,John F. Zeugner,Stores; Accommodations; Tourism,,https://sites.google.com/site/ve12stores/,4
Steps in Venice: Study to Evaluate Pedestrian Systems,B,2012,http://www.wpi.edu/Pubs/E-project/Available/E-project-121412-161950/unrestricted/Streets_Final_Paper.pdf,,Assessorato alla Mobilità; Insula SpA,Timothy Metter Forrest; Erin Michelle Heckley; Alexander Jungnom Kim; Melanie Louise Wiater,John F. Zeugner,Pedestrians; Transportation,,https://sites.google.com/site/ve12street/,4
Streamlining Canal Hydrodynamic Measurements in Venice: Updating Measurements and Developing Plans for Extensive Data Collection,B,2012,http://www.wpi.edu/Pubs/E-project/Available/E-project-121412-134321/unrestricted/VE12-Hydro_Final_Report.pdf,,Istituzione Centro Previsioni e Segnalazioni Maree,Emanuel DeMaio; Emily Kathryn Jones; Louie-John Vincenzo Mistretta; Olive Ruth Rappoli,John F. Zeugner,Canals; Hydrodynamics; Wakes,,https://sites.google.com/site/ve12hydro/,4
Treasures Underfoot: Preserving Venice's Church Floor Artifacts,B,2012,http://www.wpi.edu/Pubs/E-project/Available/E-project-121312-084544/unrestricted/Churches_B12__Final_Report.pdf,,UNESCO (UVO-ROSTE); Soprintendenza all'Archeologia,Danielle Catherine Dechaine; Meghan D. Hennessey; Jeffrey Orszulak; Kevin Alexander Rullmann,John F. Zeugner,Church floors,,https://sites.google.com/site/ve12churches/blog,4
Venice Bells and Bell Towers: A Striking Source of Knowledge,B,2012,http://www.wpi.edu/Pubs/E-project/Available/E-project-121312-204447/unrestricted/VE12-Bells_Report.pdf,,UNESCO (UVO-ROSTE),Frederick Anthony Baruffi; Janelle Marina Boucher; Madalyn E. Coryea; Danielle A. Spector,John F. Zeugner,Bells; Bell towers,,https://sites.google.com/site/ve12bells/home,4
Venipedia: An English Language Data-Driven Wiki Dedicated to Venice,B,2012,http://www.wpi.edu/Pubs/E-project/Available/E-project-121412-163337/unrestricted/VE_12-Venipedia_Final_Report.pdf,,UNESCO (UVO-ROSTE),Patrick Anthoney Bobell; Lauren Barbara McCarthy; David Michael Poganski; Alyssa B. Tsiros,John F. Zeugner,Wiki,,https://sites.google.com/site/ve12pedia/,4
25 Years of Venice Knowledge Online,B,2013,http://www.wpi.edu/Pubs/E-project/Available/E-project-122113-100840/unrestricted/Ve13_25th_Final_Paper_Submit.pdf,,,Kristen Lee Brann; Gregory Thomas Giola; Dylan Joseph Kirby; William Hames Richtmyer,Frederick L. Hart,Science and Technology: Policy and Management,,https://sites.google.com/site/ve1325th/,4
Boats and Bottlenecks: Improving Mobility in Venice,B,2013,http://www.wpi.edu/Pubs/E-project/Available/E-project-122013-101335/unrestricted/VE13-MOB_Final_Report.pdf,,,Kelsey Marie Brofford; Riley David Larkins; Luis Jose Pernia-Rovayo; Alexandra Elizabeth Shea,Frederick L. Hart,Urban and Environmental Planning; Wakes,,https://sites.google.com/site/ve13mob/,4
Boats are Waking Me Crazy: An Analysis of Boat Traffic and Moto Ondoso in Venice,B,2013,http://www.wpi.edu/Pubs/E-project/Available/E-project-122013-074812/unrestricted/VE13_Boat_Final_Paper.pdf,,,Alexander Gottlieb Bennett; Samuel Scott Hastings; Stephen O. Petry; Alexander Delong Solomon,Frederick L. Hart,Urban and Environmental Planning; Wakes,,https://sites.google.com/site/ve13boat/,4
"Canals, Bridges and Urban Maintenance",B,2013,http://www.wpi.edu/Pubs/E-project/Available/E-project-122013-134409/unrestricted/IQP_Final_Report.pdf,,,Dominick Christopher Bossalini; Brian William Gardner; Tyler Douglas Mathews; Mitchell Edwin Wills,Frederick L. Hart,Urban and Environmental Planning,,https://sites.google.com/site/ve13can/,4
"Ecclesiastical Architecture of Venice: Preserving Convents, Churches, Bells and Bell Towers",B,2013,http://www.wpi.edu/Pubs/E-project/Available/E-project-122013-112739/unrestricted/Venice_B13_Final_IQP_Report.pdf,,,Dylan Joseph Heinricher; Lauren Michelle Kahn; Ian Maxwell Maitland; Nolan P. Manor,Frederick L. Hart,Historic and Artistic Preservation Technology,,https://sites.google.com/site/ve13bell/,4
Tourism in the City of Canals: Managing Venice's Love-Hate Relationship with its Visitors,B,2013,Student Work | Tourism in the city of canals: Managing Venice's Love-Hate Relationship with its visitors | ID: x059c8007 | Digital WPI,,,Alexander Lochan Gorowara; Aquame Justin Matthews; Daryn James Russo; Armagan Sezer,Frederick L. Hart,"Economic Growth, Stability, and Development",,https://sites.google.com/site/ve13demographics/,4
Venice Through the Canals of Time: Mapping the Physical Evolution of the City,B,2013,http://www.wpi.edu/Pubs/E-project/Available/E-project-122013-113233/unrestricted/Venice_through_the_canals_of_time.pdf,,,Justin Francis Chines; Eric Eoff; Alexander Christian Reynolds; Amanda Michelle Weis,Frederick L. Hart,Urban and Environmental Planning,,https://sites.google.com/site/ve13cart/,4
A VPC Contribution to Venice to Expo 2015,B,2014,http://www.wpi.edu/Pubs/E-project/Available/E-project-121914-093706/unrestricted/VE14-EXPO_FinalReport.pdf,,,Alexander A. Caracappa; Shannon A. Dacosta; Tri K. Khuu; Elizabeth M. Pellegrini,Michael John Aghajanian,Science and Technology: Policy and Management,,https://sites.google.com/site/ve14expo/,4
Impacts of Tourism,B,2014,https://docs.google.com/document/d/11JAj-w-JLYGYx_wZUnlElMDCKcdIsm-CTVrf_mWPG9w/edit?usp=sharing,,,Ahmed Blanco; Vincent J. D'Ambrosio; Andrew J. La Manna; Kevin P. Martin,Michael John Aghajanian,"Economic Growth, Stability, and Development",,https://sites.google.com/site/ve14tour/,4
Missing Venice: Tracking the Global Movement of Venetian Art and the Evolution of Venetian Architecture and Infrastructure,B,2014,http://www.wpi.edu/Pubs/E-project/Available/E-project-121814-093844/unrestricted/VE14-Miss_Final_Report_pdfa.pdf,,,Daniel J Benson; Andrea N Boxell; Grant M Brining; Jonathan L Leitschuh,Michael John Aghajanian,Social Studies of Science and Technology,,https://sites.google.com/site/ve14miss/,4
Piera Alta,B,2014,http://www.wpi.edu/Pubs/E-project/Available/E-project-122114-143542/unrestricted/VE14-alta_Final_Report_PDF.pdf,,ISMAR,Rafael L. Angelo; Joao Mauricio C. Vasconcelos; Andrea Y. Chan; Daniel C. Hill,Michael John Aghajanian,Urban and Environmental Planning,,https://sites.google.com/site/ve14alta/,4
The Evolution of Venice Through Mapping Technology: A Venice Project Center Collaboration with the Atlante della Laguna,B,2014,http://www.wpi.edu/Pubs/E-project/Available/E-project-121914-112605/unrestricted/VE14-Atlas_Report.pdf,,City of Venice,Sopheaktra Chhim; Thomas A. Hoctor; John W. Pryor; Bryan J. Sadowski,Michael John Aghajanian,Technology and Environment,,https://sites.google.com/site/ve14atlas/home,4
Venetian Open Data: Providing Greater Access to the Venice Project Center's Data Resources,B,2014,http://www.wpi.edu/Pubs/E-project/Available/E-project-121914-113828/unrestricted/VE14-OPEN_Final_Report.pdf,,Venice Open Data,Ruofan Ding; Jon P. Gualdarrama; Ryan S. Horton; Michael J. Perrone,Michael John Aghajanian,Science and Technology: Policy and Management,,https://sites.google.com/site/ve14open/home,4
Venetian Time: An Examination of Time and Space in Venice,B,2014,http://www.wpi.edu/Pubs/E-project/Available/E-project-121814-100345/unrestricted/VE14-Time_Report.pdf,,,Mark S. Chakuroff; Kelsey B. Powderly; Dennis Steven Silva,Michael John Aghajanian,Social Studies of Science and Technology,,https://sites.google.com/site/ve14time/,3
Evaluating Changes in the Venetian Retail Sector and Managing the Use of Public Space,B,2015,http://www.wpi.edu/Pubs/E-project/Available/E-project-122215-094837/unrestricted/VE15SHOPS_PAPER.pdf,,,Francis LaRovere; Jonathan Sawin; Katie Gandomi; Emanuela Sherifi,Lorraine Higgins,Venetian population; Neighborhood shops; Tourist stores;  Palteatici and Pianini,,https://sites.google.com/site/ve15shop/,4
Exploring the City of Islands: Interactive Resources for Analyzing the Islands of Venice,B,2015,Student Work | Exploring the City of Islands: Interactive Resources for Analyzing the Venetian Lagoon | ID: ww72bb969 | Digital WPI,,,Georges Gauthier; David McDonald; Jenna O’Connell; Nick Panzarino,Lorraine Higgins,Electronic Isolario,,https://sites.google.com/site/ve15isles/,4
Increasing the Efficiency of Venetian Transport Systems for the Reduction of Moto Ondoso,B,2015,http://www.wpi.edu/Pubs/E-project/Available/E-project-010916-082719/unrestricted/VE15-Wakes_Final_Report.pdf,,,Annabella Goncalves; Nicholaus Jasinski; Alexandre Pauwels; Jacqueline Tedesco,Lorraine Higgins,"Motor boat wakes, reduce wake production; Wakes",,https://sites.google.com/site/ve15wake/,4
Mobility On Venetian Expressways: Alleviating congestion and improving navigation in Venice,B,2015,http://www.wpi.edu/Pubs/E-project/Available/E-project-121815-101353/unrestricted/VE15-Streets_Final_Report.pdf,,,Taylor Flaxington; Rigen Mehilli; Aaron Pepin; Daniel Sturman,Lorraine Higgins,Congestion of tourists; Pedestrian flow,,https://sites.google.com/site/ve15streets2/,4
"Preserving Venice’s Bells and Their Towers
",B,2015,http://www.wpi.edu/Pubs/E-project/Available/E-project-121815-055420/unrestricted/VE15-Bells_Final_Report.doc.pdf,,Curia Patriarcale ,Christopher Bove; Kristin Gallagher; Meghan Hickey; James Honicker,Lorraine Higgins,Bells and bell towers,,https://sites.google.com/site/ve15bell/home,4
Safe and Sustainable Tourism: Managing Venice's Millions of Visitors,B,2015,https://drive.google.com/file/d/0B_RMFHO8ehlvY3lEWVQ1RFFISE0/view?usp=share_link&resourcekey=0-BPd5NKkWbmowyt4cb7rP-w,,,"Christopher J. Connor Jr.; Thomas S. Hanna; William Van Rensselaer; Zachary R. Wingerter
",Lorraine Higgins,Tourism management,,https://sites.google.com/site/ve15tour/,4
The Story of Venice: An Interactive Timeline,B,2015,http://www.wpi.edu/Pubs/E-project/Available/E-project-121815-050337/unrestricted/VE15-Chron_Report.pdf,,,Andrew Baez; August Beers; Anthony Lawinger; Andrew L-Ray,Lorraine Higgins,"Venetian history, Digital timeline application",,https://sites.google.com/site/ve15chron/home,4
"Made in Venice:Past, Present and Future",B,2016,https://web.wpi.edu/Pubs/E-project/Available/E-project-121616-070335/unrestricted/VE16-MADE_FINAL_REPORT_PDF.pdf,,Camera di Commercio ,Nicholas Carabillo; Kelsey Saucier; Alex Shefferman; Emma Sheils,Aaron Deskins,,,https://sites.google.com/site/ve16made/home,4
Preserving Venetian Bell Towers Through Virtual Experiences Documenting the Bells and Bell Towers de Ultra,B,2016,https://web.wpi.edu/Pubs/E-project/Available/E-project-121616-080142/unrestricted/VE16_Bells_Final_Report.pdf,,,Rachel Huntley; Frederick (Ricky) Metters; Obatola Seward-Evans; Frederick (Fritz) Brokaw,Aaron Deskins,,,https://sites.google.com/site/ve16bell/,4
"Recreating the Neighborhood Marketplace
A reproducible business model for a supermarket comprised of local stores",B,2016,https://web.wpi.edu/Pubs/E-project/Available/E-project-121616-100836/unrestricted/VE16Food_FinalReport.pdf,,,Claudia Dufour; Casey Maffucci; Emily Newman; Patrick Wang,Aaron Deskins,,,https://sites.google.com/site/venice16food/,4
"The Boundaries of Venice
Digitally Mapping Historical Venetian Borders and their Modern Day Implications",B,2016,https://web.wpi.edu/Pubs/E-project/Available/E-project-121616-054255/unrestricted/VE16_BOUNDS_Report.pdf,,Archivio di Stato ,"John DeVine, Jr.; Marcus Lundgren; Dimitar Vouldjeff; Jessica Wey",Aaron Deskins,,,https://sites.google.com/site/ve16bound/home,4
Unearthing Patterns in Venetian History:Developing an Online Tool for Discovering Patterns in Subterranean Archaeological Sites,B,2016,https://web.wpi.edu/Pubs/E-project/Available/E-project-011217-000020/unrestricted/VE16-Archeo_Final_Report.pdf,,"Soprintendenza dei Beni culturali , Studio Zandinella",William Godsey; Natalia Kononenko; Xiaozhu Liu; Lucy Stuehrmann ,Aaron Deskins,,,https://sites.google.com/site/ve16archeo/,4
Vacation Rentals and Residential Housing in Venice,B,2016,Student Work | Vacation Rentals and Residential Housing in Venice | ID: bn999737g | Digital WPI,,"Camera di commercio, Comune di Venezia ",Hayley Boigenzahn; Steven Loftin; Dylan Roncati; Andrey Yuzvik,Aaron Deskins,,,https://sites.google.com/site/ve16housing/home,4
"Venice Big Data 
Visualizing the Continuum of Data in Venice",B,2016,https://web.wpi.edu/Pubs/E-project/Available/E-project-121616-115533/unrestricted/BigData-FinalProposal.pdf,,,Joseph Bremner; Austen Couvertier; Frank Egan ,Aaron Deskins,,,https://sites.google.com/site/ve16bigdata/,3
A Greener Venice; An Exploration and Mapping of Green Spaces in the Venice Islands,B,2017,,,,"Drewniak, Nathan P.; Entov, Gabriel; McNamara, Kinsey; Wang, Chenggu",,,,https://sites.google.com/site/ve17greenteam/,4
Developing a Comprehensive Proposal for Tourism Management in Venice,B,2017,Student Work | Developing a Comprehensive Proposal for Tourism Management in Venice | ID: g445cd42r | Digital WPI,,,"Crognale, Joseph G.; Elfenbein, Ari S.; Korn, Justin; Mart, Benjamin G.",,,,https://sites.google.com/site/venice17wise/,4
"Publishing 30 Years of Data on Venice, Creating Infographics Describing the City’s Features",B,2017,https://web.wpi.edu/Pubs/E-project/Available/E-project-121417-100911/unrestricted/VE17-KNOPEN_Report.pdf,,VPC,"Bishop, Griffin R.; Ciccarelli, Drew P.; Dettloff, Kristen E.; Elzey, Christian S.",,,,https://sites.google.com/site/veb17know/,4
Saving Venice's Heritage,B,2017,,,,"Child, Benjamin H.; Mercouris, Victoria N.; Richards, Kyle L.; Sadoyan, Harutyun",,,,https://sites.google.com/site/ve17saveteam/,4
Staying in Venice: Feasibility Study of Housing Startup Casa Peota,B,2017,Student Work | Leveraging Tourist Rentals to Make Housing Affordable for Venetians: A Feasibility Study of Casa Peota and Fairbnb | ID: 12579s98b | Digital WPI,,,"Cerce, John; Moo Feng, (Erick) Zhung Keung; Smith, Samantha A.; Steele, Charles C.",,,,https://sites.google.com/site/ve17stayteam/,4
The Future of Mobility in Venice,B,2017,,,,"Bonina, John W.; Cody, Sean R.; Panicci, Michael A.; Smith, Katherine M. ",,,,https://sites.google.com/site/ve17move/,4
Venice 3.0pen: Venice 30th Anniversary Open Data Project,B,2017,,,VPC,"Schueler, Matthew J.; Spencer, Myles E.; Willoughby, Colin J.; Ying, Jessie X.",,,,https://sites.google.com/site/ve17open/,4
Venice Without Obstacles: Analyzing Accessibility in Venice For Various Disabilities,B,2018,,,SerenDPT; Federico Poletti,"Eliana Abenante; Andrew DeRusha; Michael DiStefano; Stephanie Jones
",Bill Michalson,,,https://sites.google.com/site/ve18acve,4
Venice From Above: An Effort to Preserve Venice’s Bell Towers,B,2018,,,SerenDPT,"Nick Colucci; Candan Iuliano; Fivos Kavassalis; Philippe Lessard
",Bill Michalson,,,https://sites.google.com/site/ve18bells,4
Celebrating 30 Years of the Venice Project Center,B,2018,,,VPC,"Ken Morton; Nicholas Delli Carpini; Elijah Ellis; Sam Hale
",Bill Michalson,,,https://sites.google.com/site/ve1830th/,4
Open For Business: Analyzing Venetian Storefronts,B,2018,,,VPC,"Joe Bartone; Yibin Chen; Stephanie Racca; Keith Scales
",Bill Michalson,,,https://sites.google.com/view/ve18-shops/,4
Tech Mecca in Giudecca: Establishing a Startup Factory,B,2018,,,SerenDPT,"Colin Hiscox; Ryan Lee; Peter Maida; Alexander McMahon
",Bill Michalson,,,https://sites.google.com/site/ve18h3/,4
PreserVenice Launch: A Crowdfunding Solution for Preserving Venetian Heritage,B,2018,,,SenerDPT; Arti.City,Dimitri Berardi; Benjamin Hetherington; Samuel Joy; Katherine Thompson,Bill Michalson,,,https://sites.google.com/view/ve18-pv-2/,4
Exploring Urban Permaculture: Initializing a Path to a Greener Venice,B,2018,,,SerenDPT; F.U.D. (Fattoria Urbana Diffusa),Alex Jordan; Rachel Manca; Kevin O'Driscoll,Bill Michalson,,,https://sites.google.com/site/ve18food/,3
,,,,,,,,,,,784
