Project title,Term,Year,Project report link,WPI only?,Sponsor(s),Authors,Co-advisor(s),Topic(s),Categories,Website ,
Portali e Lunette: A Multimedia Catalog for the Preservation of Venice's Artistic Entrances,E,2002,http://www.wpi.edu/Pubs/E-project/Scanned/02A002I.pdf,Y,,"Erica Lisa Bartos; Rebecca Lee Croteau Moore; DJ Lemmo, Jr.; Katrina L. Salamon",David DiBiasio; Natalie A. Mello,Portali; Lunette; Public art,,,4
Archeological and Analytical Study of Venetian Church Floors,E,2003,https://drive.google.com/file/d/0B0ELG5jkw_b4QjBobzdrUW03Nzg/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/03A001I.pdf,Soprintendenza all'Archeologia; UNESCO (UVO-ROSTE); Luigi Fozzati,Hilary Lohnes Hayes; James Alexander Liu; Christian A. Salini,Guillermo F. Salazar,Church floors,,,3
"Convents, Palaces, and Churches: Transformation of Historic Buildings and the Impact on Venice's Neighborhoods",E,2003,https://drive.google.com/file/d/0B0ELG5jkw_b4ZXdVaC04Ym9GWWM/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/03A009I.pdf,UNESCO (UVO-ROSTE); Assessorato all'Urbanistica; Philippe Pypaert,Sean F. Hoey; Marissa C. Kahan; Paul J. Marchetti; Kimberly A. Mazza,Guillermo F. Salazar,Historic buildings; Churches; Restoration,,,4
Growth in the Garden of Venice: Sustainable Development in Sant'Erasmo,E,2003,http://www.wpi.edu/Pubs/E-project/Scanned/03A007I.pdf,Y,Commune di Venezia; Assessorato all'Urbanistica; Giorgio Pilla,Katrina Emelia Ann Hildebrand; David Joseph Norcott; Laurel M. Rudge; Alexis Quinn Steinhart; Thomas Anthony Zammataro,Guillermo F. Salazar,Sustainable development,,,5
Island of Pellestrina: Case Study for the Environmental Atlas of the Venetian Lagoon,E,2003,http://www.wpi.edu/Pubs/E-project/Scanned/03A006I.pdf,Y,Marco Favaro; Silvia Rizzardi; Valeria Giannella; Andrea Mariotto; Assessorato all'Ambiente,Scott Lewis Battocchi; Caitlin Helena Bell; Jeffrey R. Blair; Natalie Janette Cole,Guillermo F. Salazar,Traffic; Beaches; Sustainability; Environmental impact,,,4
Preservation and Restoration of Venetian Public Art: From the Completion of the Public Art Catalog to the Active Restoration Process,E,2003,https://drive.google.com/file/d/0B0ELG5jkw_b4dXNqa00yUFdaQU0/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/03A002I.pdf,Alberto Gallo,"Mark A. Elbag, Jr.; Adam Michael Epstein; James Francis Hannigan; Elizabeth Merry Rosinha",Guillermo F. Salazar,Public art; Art restoration,,,4
Preserving the Canal Walls of Venice Using Power from a Modified Microbial Fuel Cell (MQP),E,2003,http://www.wpi.edu/Pubs/E-project/Scanned/03D081M.pdf,Y,,Christopher Michael O'Malley,David DiBiasio; John F. Zeugner,Canals,,,1
Sounds of Venice,E,2003,http://www.wpi.edu/Pubs/E-project/Scanned/03A010I.pdf,Y,Città di Venezia,Douglas Jacob Leenhouts; Paul Francis Messier; Scott James Neithercut,Guillermo F. Salazar,Sounds; Noise,,,3
Ultrasound Boat-Monitoring System (MQP),E,2003,http://www.wpi.edu/Pubs/E-project/Scanned/03D124M.pdf,Y,,Mark Daniel Johnson; Jonathan M. Lovisolo; Yasuhiro Okuno,Peder C. Pedersen,Boats; Transportation,,,3
Analysis of the Archaeological Potential of Venetian Church Floors,E,2004,https://drive.google.com/file/d/0B0ELG5jkw_b4dFhRdlVBTzMzUk0/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/04A014I.pdf,Soprintendenza all'Archeologia; Luigi Fozzati; UNESCO (UVO-ROSTE),Scott J. Blanchard; Jeffrey Alan Caputo; Matthew J. Regan; Matthew L. Shaw,H.J. Manzari,Church floors; Archaeology,,,4
Evolution of Stores and Decline of Residential Comfort: the Availability of Necessary Goods in the Historical Center of Venice,E,2004,http://www.wpi.edu/Pubs/E-project/Scanned/05C008I.pdf,Y,Città di Venezia; Settemari Rowing Club,Greg R. Chandonnet; Andrew C. Christo; Patricia Anne Pope; Karen Singh,H.J. Manzari,Stores; Economy,,,4
Evolution of the Forma Urbis: A Graphical Tool for Analyzing the Urban Development of Venice,E,2004,http://www.wpi.edu/Pubs/E-project/Scanned/04A007I.pdf,Y,Marco Bortoletto,Christopher Edward Baker; Samantha Dakin; Cem Saracel,H.J. Manzari,Urban development,,,3
Mapping turbulence in the canals of Venice (MQP),E,2004,,,,Christopher Allen Lacasse; Kevin J. Menard,Michael J. Ciaraldi; Fred J. Looft,Canals; Wakes,,,2
Planning Sustainable Tourism for the Northern Lagoon Park of Venice,E,2004,https://digital.wpi.edu/pdfviewer/02870w319,Y,Assessorato all'Urbanistica; Assessorato all'Ambiente,Eric R. Chandonnet; Daniel Richardi; Christie Ann Rudis; Agnieszka B. Ziolek,H.J. Manzari,Lagoon park; Sustainable tourism,,,4
Preservation of Venetian Bell Towers,E,2004,http://www.wpi.edu/Pubs/E-project/Scanned/04A012I.pdf,Y,,Melissa W. Marion; Michael Milkin; Eric Rogers Mill; Christopher Edward Vitone,H.J. Manzari,Bell towers,,,4
Public Art Preservation in Venice: Non-Public Wellheads and Fountains,E,2004,https://drive.google.com/file/d/0B0ELG5jkw_b4aThMaEo1Y0Z5NEk/edit?usp=sharing,http://www.wpi.edu/Pubs/E-project/Scanned/04A010I.pdf,,Aaron Edward Kelley; Gregory I. Ratner; Matthew J. Schmaelzle; Orest Thomollari,H.J. Manzari,Public art,,,4
Reconstructing Sea Levels Prior to 1872 through Venetian Art and Architecture,E,2004,http://www.wpi.edu/Pubs/E-project/Scanned/04A011I.pdf,Y,National Research Council (CNR),Laura Rose Corsetto; David A. DeFusco; Michael J. Scarsella,H.J. Manzari,Tidal progression; Sea level indicators; Art,,,3
Traditional Boats of Venice: Assessing a Maritime Heritage,E,2004,http://www.wpi.edu/Pubs/E-project/Scanned/04A013I.pdf,Y,,Sean P. Candlish; Sarah E. Stout,H.J. Manzari,Traditional boats,,,2
Ultrasound Boat-Monitoring System: Venice Canal Boat Traffic and Damage Monitoring System (MQP),E,2004,http://www.wpi.edu/Pubs/E-project/Scanned/04D184M.pdf,Y,,Alexander Gomperts; Chun Ho Lee; Yusuke Tanefusa,Peder C. Pedersen,Boats; Transportation; Wakes,,,3
Alpine Mountain Huts: A Marketing and Accessibility Plan,E,2005,Student Work | Alpine mountain huts -- a marketing and accessibility plan. | ID: 9g54xh96x | Digital WPI,Y,Club Alpino Italiano Venezia,William Ross Blackmar; James Gaudette; Andrew Giaquinta,John F. Zeugner,Marketing; Accessibility; Alpine mountains,,,3
